match_type,match_value,record_count,plumber_ids,trading_names,areas,action
trading_name,25sevenassist,2,ad26d455-6521-4666-a9ce-dbcead9da6a8|058fbd44-0ad1-4337-a258-1050716bc6de,25Seven Assist | 25 Seven Assist,Durban North | Durban South,manual_entity_review
trading_name,canproplumbingandmaintenance,2,340fafed-4982-462b-b944-e3b16ba60317|ff8dad45-60f4-4266-9eb9-0f20d639ad38,Canpro Plumbing and Maintenance | Canpro plumbing and maintenance ,Durban North,manual_entity_review
trading_name,fennertrading,2,b67fc67b-ab23-4fb6-b8ae-17b3b4c171ed|982a1229-caac-440c-bc3e-8d647e9dac13,Fenner Trading | Fenner Trading ,South Coast | Other KZN,manual_entity_review
trading_name,kznplumbfix,2,d00d1f11-1ee8-4f43-9b0b-1cde8820533e|53fa1e34-8481-41c9-847a-c363d822a4d8,KZN Plumb Fix | KZN Plumb Fix,Durban North | Pinetown,manual_entity_review
trading_name,hmsplumbing,2,c18b3de6-93eb-4d4b-83c2-fbaf5647c764|2f37e68b-932f-4fd6-8f37-ea285f4b8e63,HMS PLUMBING  | HMS Plumbing,Other KZN,manual_entity_review
trading_name,hazymansplumbers,2,d73ee408-5d84-461f-8916-2b547dd21e6e|26976631-0d03-4c96-af85-76ec4c2f1acd,HazyMan's Plumbers  | HazyMans Plumbers,Durban North,manual_entity_review
trading_name,mzikaphoswaplumbers,2,a7c53dca-f035-4581-a7ae-e69a3e355ae9|c470a302-d5c3-4df8-a969-0fe5d32d4bcd,Mzikaphoswa Plumbers | MZIKAPHOSWA PLUMBERS ,Durban North | Other KZN,manual_entity_review
trading_name,plumbguaranteekzn,2,cd7f48ca-3338-4753-b7cc-2021a9dd54c9|0954f6cb-b36b-49c2-b7f7-c51bd7dc2bde,Plumb Guarantee Kzn | PlumbGuarantee KZN,Durban North | Pinetown,manual_entity_review
trading_name,rbplumbingmaintenance,2,ca552ef9-f6f0-4830-9b93-276518149de3|2728b6e7-f41a-445c-96d7-59d1cb651f52,R & B Plumbing & Maintenance | R & B Plumbing / Maintenance,Richards Bay,manual_entity_review
trading_name,siphoplumbingsolutions,2,22c63d86-9288-431a-ad61-b8be86ec6338|a864f66b-1e5b-4d9a-b7e9-246d496b9b0d,Sipho plumbing solutions  | Sipho Plumbing Solutions,Durban South,manual_entity_review
whatsapp_number,817527255,2,ad26d455-6521-4666-a9ce-dbcead9da6a8|17ab5cad-38bc-465e-9c3f-adc2a916a68c,25Seven Assist | 25 Seven Assist Pty Ltd,Durban North,manual_entity_review
whatsapp_number,818536671,2,a4fccada-157a-49af-ba59-c7e7e5c66322|c8e0f739-ef60-483f-9bd5-d732e2b61639,NOKUSONGA CONSTRUCTION PTY LTD  | Nokusonga Construction,Durban North,manual_entity_review
whatsapp_number,660512591,2,340fafed-4982-462b-b944-e3b16ba60317|ff8dad45-60f4-4266-9eb9-0f20d639ad38,Canpro Plumbing and Maintenance | Canpro plumbing and maintenance ,Durban North,manual_entity_review
whatsapp_number,677396649,2,a2c4bcf0-1e5c-4741-83f8-440baa88f706|3d1ce690-8ce4-4a90-bfe3-a2aa5aeb107f,Dlangamandla Civils and Maintenance | Dlangamandla Civils & Maintenance ,Durban North,manual_entity_review
whatsapp_number,836096012,2,b67fc67b-ab23-4fb6-b8ae-17b3b4c171ed|982a1229-caac-440c-bc3e-8d647e9dac13,Fenner Trading | Fenner Trading ,South Coast | Other KZN,manual_entity_review
whatsapp_number,824655519,2,31fbbcdb-0920-4deb-8cba-0c8f88ca33f1|74b63ee9-3297-4129-b14e-2c1fe58818f2,Handy Fellas | Handifellas,PMB | Other KZN,manual_entity_review
whatsapp_number,814217975,2,ebbf2e58-0618-4b2d-8ff8-6a401d01ef08|77f6847f-d8ba-4972-8759-06de0cfed025,"K E Plumbing building and maintenance | K.E Plumbing , Building & Maintenance ",South Coast | Other KZN,manual_entity_review
whatsapp_number,619467258,2,d00d1f11-1ee8-4f43-9b0b-1cde8820533e|53fa1e34-8481-41c9-847a-c363d822a4d8,KZN Plumb Fix | KZN Plumb Fix,Durban North | Pinetown,manual_entity_review
