slug,h1,group,city_focus,published,words,similarity_to_group_representative,exact_duplicate_in_group,current_index_status,suggested_disposition,suggested_target,reason
24-hour-plumber-kzn,What plumbers offer 24-hour emergency services in KZN?,Emergency,KwaZulu-Natal,true,742,0.699,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
247-plumber-durban,What are the best 24/7 plumbers in Durban?,Emergency,Durban,true,647,0.643,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
blocked-drain-durban-urgent,Who can fix a blocked drain urgently in Durban?,Emergency,Durban,true,699,0.546,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
burst-geyser-kzn,What do I do when my geyser bursts in KZN?,Emergency,KwaZulu-Natal,true,795,1.000,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
burst-pipe-repair-kzn,How do I fix a burst pipe in KwaZulu-Natal?,Emergency,KwaZulu-Natal,true,784,0.803,false,legacy_unclassified,keep_review,/services/burst-pipes,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
emergency-plumber-durban,Who do I call for emergency plumbing in Durban?,Emergency,Durban,true,782,0.803,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
leaking-pipe-kzn,How do I stop a leaking pipe fast in KZN?,Emergency,KwaZulu-Natal,true,726,0.689,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
same-day-plumber-kzn,Who offers same-day plumbing repairs in KwaZulu-Natal?,Emergency,KwaZulu-Natal,true,648,0.668,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
sewage-emergency-plumber-kzn,Who do I call for a sewage emergency in KwaZulu-Natal?,Emergency,KwaZulu-Natal,true,732,0.716,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
weekend-plumber-kzn,Who repairs burst geysers on weekends in KZN?,Emergency,KwaZulu-Natal,true,712,0.727,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
affordable-certified-plumber-kzn,How do I find an affordable certified plumber in KZN?,Directory & Finding,KwaZulu-Natal,true,677,0.701,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
best-plumber-directory-kwazulu-natal,What is the best plumber directory in KwaZulu-Natal?,Directory & Finding,KwaZulu-Natal,true,605,0.701,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
best-rated-plumber-durban,What are the best-rated plumbers in Durban?,Directory & Finding,Durban,true,676,0.731,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
certified-plumber-ladysmith-kzn,How do I find a certified plumber in Ladysmith KwaZulu-Natal?,Directory & Finding,Ladysmith,true,588,0.654,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
certified-plumber-near-me-kzn,How do I find a certified plumber near me in KZN?,Directory & Finding,KwaZulu-Natal,true,647,0.679,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
certified-plumber-richards-bay,Where can I find a certified plumber in Richards Bay?,Directory & Finding,Richards Bay,true,518,0.536,false,legacy_unclassified,keep_review,/plumbers/richards-bay,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-certified-plumber-kwazulu-natal,How do I find a certified plumber in KwaZulu-Natal?,Directory & Finding,KwaZulu-Natal,true,977,1.000,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
find-plumber-pietermaritzburg,How do I find a plumber in Pietermaritzburg?,Directory & Finding,Pietermaritzburg,true,587,0.719,false,legacy_unclassified,keep_review,/plumbers/pietermaritzburg,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
hire-licensed-plumber-kzn,How do I hire a licensed plumber in KwaZulu-Natal?,Directory & Finding,KwaZulu-Natal,true,653,0.758,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
pirb-registered-plumbers-kzn,Where can I find PIRB-registered plumbers in KZN?,Directory & Finding,KwaZulu-Natal,true,621,0.780,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
qualified-plumber-newcastle-kzn,Where can I find a qualified plumber in Newcastle KZN?,Directory & Finding,Newcastle,true,561,0.534,false,legacy_unclassified,keep_review,/plumbers/newcastle,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
registered-plumber-durban,Where can I find a registered plumber in Durban?,Directory & Finding,Durban,true,698,0.812,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
reliable-plumber-umhlanga,Where can I find a reliable plumber in Umhlanga?,Directory & Finding,Umhlanga,true,591,0.674,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
trusted-plumber-ballito,How do I find a trusted plumber in Ballito?,Directory & Finding,Ballito,true,561,0.641,false,legacy_unclassified,keep_review,/plumbers/ballito-north-coast,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
verify-plumber-south-africa,How do I verify if a plumber is certified in South Africa?,Directory & Finding,KwaZulu-Natal,true,685,0.802,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
body-corporate-plumber-durban,Who can do plumbing for a body corporate in Durban?,Untapped/Specialised,Durban,true,602,0.342,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
borehole-plumber-kzn,Who installs borehole pumps and plumbing in KZN?,Untapped/Specialised,KwaZulu-Natal,true,595,0.491,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
cctv-drain-inspection-kzn,What is CCTV drain inspection and do I need it in KZN?,Untapped/Specialised,KwaZulu-Natal,true,611,0.355,false,legacy_unclassified,keep_review,/services/blocked-drains,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
commercial-plumber-kzn,Who offers commercial plumbing services in KwaZulu-Natal?,Untapped/Specialised,KwaZulu-Natal,true,598,0.378,false,legacy_unclassified,keep_review,/services/commercial,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-relining-kzn,What is drain relining and is it available in KZN?,Untapped/Specialised,KwaZulu-Natal,true,613,0.309,false,legacy_unclassified,keep_review,/services/blocked-drains,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
greywater-system-kzn,What is a greywater recycling system and can I install one in KZN?,Untapped/Specialised,KwaZulu-Natal,true,562,0.334,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
hydro-jetting-kzn,What is hydro-jetting drain cleaning and who offers it in KZN?,Untapped/Specialised,KwaZulu-Natal,true,591,0.457,false,legacy_unclassified,keep_review,/services/blocked-drains,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
jojo-tank-installation-kzn,How do I install a JoJo tank in KwaZulu-Natal?,Untapped/Specialised,KwaZulu-Natal,true,622,0.432,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
new-construction-plumber-kzn,How do I find a plumber for a new construction project in KZN?,Untapped/Specialised,KwaZulu-Natal,true,663,0.401,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumbing-insurance-claim-kzn,Who handles plumbing insurance claims in KwaZulu-Natal?,Untapped/Specialised,KwaZulu-Natal,true,641,0.353,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
pressure-reducing-valve-kzn,What is a pressure reducing valve and do I need one in KZN?,Untapped/Specialised,KwaZulu-Natal,true,676,1.000,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
rainwater-harvesting-kzn,How do I set up a rainwater harvesting system in KZN?,Untapped/Specialised,KwaZulu-Natal,true,588,0.379,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
rental-property-plumber-kzn,How do I find a plumber for my rental property in KZN?,Untapped/Specialised,KwaZulu-Natal,true,648,0.394,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
underfloor-heating-plumber-kzn,Who installs underfloor heating in KwaZulu-Natal?,Untapped/Specialised,KwaZulu-Natal,true,649,0.338,false,legacy_unclassified,keep_review,/,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
water-leak-detection-kzn,How does water leak detection work in KwaZulu-Natal?,Untapped/Specialised,KwaZulu-Natal,true,631,0.414,false,legacy_unclassified,keep_review,/services/leak-detection,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
burst-pipe-repair-cost-kzn,How much does it cost to fix a burst pipe in KZN?,Costs & Pricing,KwaZulu-Natal,true,679,0.488,false,legacy_unclassified,keep_review,/services/burst-pipes,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
drain-unblocking-cost-durban,How much does drain unblocking cost in Durban?,Costs & Pricing,Durban,true,718,0.407,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
new-bathroom-installation-cost-kzn,How much does it cost to install a new bathroom in KZN?,Costs & Pricing,KwaZulu-Natal,true,711,0.491,false,legacy_unclassified,keep_review,/services/bathroom-plumbing,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
geyser-installation-cost-kzn,What is the cost of geyser installation in KwaZulu-Natal?,Costs & Pricing,KwaZulu-Natal,true,699,0.788,false,legacy_unclassified,keep_review,/services/geyser-repair,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
leaking-tap-repair-cost-durban,What is the price to fix a leaking tap in Durban?,Costs & Pricing,Durban,true,765,0.433,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
plumber-call-out-fee-durban,What is the average call-out fee for a plumber in Durban?,Costs & Pricing,Durban,true,639,0.470,false,legacy_unclassified,keep_review,/plumbers/durban,"Review demand, live inventory, uniqueness, and GSC performance before keeping."
